snapshot,percentile,ix,iy,iz,omega_mag,R_max,sigma_abs,sigma_signed,C_far
t=0,50.0,58,241,168,15.522787654922594,48,14.05326956629019,4.868171530671036,0.3464084644294022
t=0,50.0,58,241,168,15.522787654922594,64,16.692206788402512,5.490735140852121,0.328940038333757
t=0,50.0,58,241,168,15.522787654922594,80,18.65125188553811,5.861771170804573,0.3142829879076213
t=0,50.0,58,241,168,15.522787654922594,96,20.254079370251258,5.8952407990897076,0.2910643673959581
t=0,50.0,58,241,168,15.522787654922594,112,21.54233302530146,5.873320688242224,0.272640882551765
t=0,50.0,219,244,82,29.39940959933071,32,10.30527136554793,0.5121370216528927,0.0496966070553992
t=0,50.0,219,244,82,29.39940959933071,48,13.501167515347024,0.03665265114783114,0.0027147764151631624
t=0,50.0,219,244,82,29.39940959933071,64,15.835957160390556,0.012718760586043341,0.0008031570467907014
t=0,50.0,219,244,82,29.39940959933071,80,17.9627836884822,0.19953672461056393,0.011108340893650441
t=0,50.0,219,244,82,29.39940959933071,96,19.602307609019743,0.40127588613335474,0.020470849357996656
t=0,50.0,219,244,82,29.39940959933071,112,21.093100310196373,0.16998516421416393,0.008058804145163684
t=0,50.0,212,53,219,20.437516177551682,32,11.149854283348686,0.7485109953632406,0.06713190830494306
t=0,50.0,212,53,219,20.437516177551682,48,14.888297040637493,1.0398622264586606,0.06984426920153222
t=0,50.0,212,53,219,20.437516177551682,64,17.437031083622397,1.0531317334602495,0.060396275513289396
t=0,50.0,212,53,219,20.437516177551682,80,19.26298601498166,1.0178857229662126,0.052841533611380845
t=0,50.0,212,53,219,20.437516177551682,96,20.853662440149726,0.9235995775835184,0.0442895620965507
t=0,50.0,212,53,219,20.437516177551682,112,22.205274405189527,0.8521900506038548,0.03837782119029756
t=0,50.0,20,62,151,15.730973004472748,32,12.505363663897288,2.937364499933427,0.2348883710126347
t=0,50.0,20,62,151,15.730973004472748,48,16.089697150670716,2.4320075016271248,0.15115309373773664
t=0,50.0,20,62,151,15.730973004472748,64,18.862426392803236,2.0914466054954786,0.11087898035713202
t=0,50.0,20,62,151,15.730973004472748,80,20.810377528125198,1.9024380658676125,0.09141775843789811
t=0,50.0,20,62,151,15.730973004472748,96,22.382697767167222,1.8949514625148745,0.08466144171836805
t=0,50.0,20,62,151,15.730973004472748,112,23.665540595839744,1.883122886915085,0.07957235877578585
t=0,50.0,184,237,189,16.995451474204977,32,9.8241359582323,0.3751919070400035,0.03819083007759121
t=0,50.0,184,237,189,16.995451474204977,48,13.778566115686216,0.28350243902206107,0.020575612632094394
t=0,50.0,184,237,189,16.995451474204977,64,16.574648121017116,0.47824399734899414,0.028853945728269634
t=0,50.0,184,237,189,16.995451474204977,80,18.686804550049956,0.37282005175790756,0.019950979353337908
